id,engaging
32722,0
30618,0
9627,0
13762,0
22905,0
35501,0
22413,0
47081,0
61117,0
11680,0
55705,0
60252,0
30838,0
3186,0
40770,0
15637,0
58964,0
49721,0
59041,0
26769,0
7383,0
43223,0
48481,0
63308,0
35209,0
20913,0
19665,0
12986,0
63826,0
22243,0
37471,0
61519,0
13675,0
59118,0
35693,0
62871,0
57909,0
5076,0
33170,0
36056,0
23255,0
31246,0
4153,0
46280,0
45508,0
40309,0
35289,0
43777,0
51156,0
43805,0
32298,0
37612,0
6400,0
30581,0
26367,0
30042,0
47460,0
3329,0
15584,0
54762,0
4484,0
58074,0
41471,0
38362,0
18341,0
15357,0
56047,0
45966,0
29916,0
37139,0
52937,0
39504,0
65270,0
29677,0
7276,0
61863,0
66084,0
59531,0
64633,0
59125,0
57019,0
33374,0
55627,0
50717,0
12834,0
64419,0
24539,0
25514,0
29317,0
37125,0
1523,0
25299,0
9030,0
1507,0
30570,0
10525,0
35413,0
29525,0
52015,0
51209,0
1762,0
27391,0
7100,0
31224,0
21360,0
36756,0
14783,0
8467,0
39592,0
18089,0
10555,0
16472,0
47957,0
41575,0
45106,0
2770,0
15917,0
49143,0
27311,0
65541,0
34796,0
33611,0
60146,0
4447,0
59308,0
12118,0
56141,0
44706,0
26246,0
32861,0
17980,0
60503,0
25681,0
15149,0
45038,0
60777,0
57761,0
66056,0
4264,0
46925,0
10361,0
11689,0
58232,0
36146,0
7839,0
27499,0
31750,0
40476,0
35248,0
2633,0
65720,0
30449,0
12399,0
35721,0
34488,0
26533,0
22092,0
60585,0
31922,0
54667,0
17568,0
64926,0
66209,0
44786,0
26956,0
38671,0
3535,0
50806,0
19503,0
42809,0
49584,0
18768,0
3519,0
65396,0
48609,0
19183,0
57860,0
41497,0
22115,0
11857,0
65158,0
12277,0
10217,0
39878,0
43273,0
65865,0
60718,0
60130,0
47528,0
58178,0
42136,0
63205,0
2983,0
15942,0
22066,0
56891,0
64691,0
50892,0
19316,0
6313,0
1165,0
58238,0
25341,0
1243,0
49610,0
30188,0
10894,0
33100,0
55346,0
45549,0
58329,0
59683,0
34362,0
9262,0
27937,0
11751,0
25907,0
21116,0
1265,0
61619,0
37615,0
52410,0
11305,0
44958,0
40306,0
41577,0
59910,0
1093,0
23754,0
47991,0
36371,0
51980,0
53610,0
5906,0
50944,0
25973,0
36709,0
40510,0
12143,0
27598,0
14390,0
30790,0
27956,0
52118,0
7411,0
2748,0
47903,0
32115,0
22089,0
51759,0
53152,0
58343,0
28319,0
41911,0
43032,0
39813,0
19019,0
47570,0
54269,0
28321,0
39065,0
34485,0
23790,0
8938,0
30513,0
44835,0
2458,0
31095,0
31025,0
25559,0
55585,0
61137,0
28376,0
45522,0
57510,0
16572,0
33587,0
25450,0
50556,0
6566,0
39402,0
35486,0
29168,0
1551,0
17124,0
39397,0
51336,0
4278,0
12509,0
47447,0
20178,0
22021,0
40069,0
35582,0
60869,0
63731,0
64775,0
28182,0
17825,0
46262,0
21598,0
26133,0
10129,0
37335,0
9261,0
60365,0
25710,0
36062,0
45875,0
19188,0
37150,0
33489,0
817,0
64989,0
44456,0
4250,0
7428,0
43530,0
60928,0
64497,0
32469,0
5073,0
52235,0
57118,0
42194,0
32564,0
57765,0
41062,0
26595,0
50008,0
5884,0
2818,0
11828,0
39211,0
30965,0
55333,0
47082,0
35970,0
43474,0
45928,0
54129,0
4332,0
14986,0
10415,0
54555,0
23707,0
9771,0
18715,0
14642,0
30913,0
28129,0
38818,0
48214,0
45302,0
20075,0
58020,0
26937,0
60299,0
24651,0
44550,0
62161,0
6469,0
56970,0
61848,0
5224,0
23981,0
36227,0
43671,0
23812,0
38016,0
46803,0
15838,0
38321,0
47343,0
11220,0
732,0
59152,0
59078,0
10241,0
37042,0
8971,0
59847,0
10310,0
58686,0
63022,0
45103,0
15963,0
3164,0
46682,0
60798,0
34472,0
39113,0
14029,0
41856,0
36308,0
52978,0
54819,0
34833,0
28272,0
19178,0
14156,0
46624,0
10426,0
54001,0
46653,0
12792,0
32872,0
31852,0
5708,0
33412,0
27480,0
30086,0
47259,0
19717,0
59416,0
19415,0
63691,0
42933,0
47294,0
12647,0
21958,0
12445,0
61686,0
65831,0
13856,0
48085,0
9171,0
245,0
46243,0
58533,0
62311,0
56283,0
10352,0
27924,0
39148,0
28871,0
9750,0
57823,0
12747,0
57885,0
47742,0
18352,0
40671,0
11843,0
10531,0
42767,0
21029,0
13166,0
46672,0
21283,0
10744,0
55343,0
15160,0
36108,0
29110,0
22712,0
22694,0
46322,0
15875,0
66617,0
57711,0
64178,0
32760,0
38361,0
40598,0
34802,0
31192,0
21141,0
35681,0
8997,0
39166,0
20569,0
55174,0
20176,0
19648,0
7875,0
55484,0
58823,0
25426,0
34579,0
52279,0
31840,0
64087,0
36230,0
21390,0
28721,0
37239,0
61133,0
23619,0
58139,0
55660,0
59975,0
23348,0
39183,0
9919,0
49394,0
19347,0
55697,0
45527,0
48964,0
8383,0
21926,0
39624,0
3611,0
25896,0
44745,0
24877,0
50567,0
4486,0
21441,0
25951,0
10304,0
51413,0
5370,0
6416,0
4616,0
63518,0
23480,0
63498,0
1425,0
16558,0
30615,0
47129,0
41213,0
56163,0
37933,0
26983,0
13813,0
41898,0
56794,0
32617,0
27528,0
47085,0
55751,0
34536,0
2881,0
3374,0
27070,0
62,0
18420,0
24752,0
29040,0
46246,0
52337,0
11485,0
34662,0
36022,0
36703,0
47907,0
19075,0
57355,0
63763,0
56403,0
37137,0
18564,0
38422,0
65552,0
37959,0
14748,0
17773,0
23397,0
12444,0
32380,0
8504,0
28110,0
9351,0
61548,0
5376,0
36769,0
24618,0
50899,0
47411,0
